Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target
24.5,363.5,74,0.5,0.5,21,288.5,87,1.5,0.5,0,1
22,172,142.5,2,1,22,300.5,66.5,2.5,1.5,1,0
30,229.5,65,2,0.5,20.5,269.5,64,3,1,-1,0
27.5,278,132.5,0,1,24,375.5,87.5,1,1.5,1,1
15.5,306.5,81,2,0.5,36,368.5,136.5,0.5,1.5,0,0
18.5,258.5,60.5,2.5,1,25,139,164.5,2,0,-1,1
12.5,264,132,2,0.5,30.5,249.5,162,2,0.5,0,1
22.5,227.5,155.5,1,0.5,20.5,257,114,1.5,0,1,1
22.5,324.75,72.25,0.5,1.75,19.25,225.75,124.5,1.25,1,0,1
21.25,264.5,94.75,0.75,0.5,18.25,217.75,94.25,2.5,0.75,0.5,1
21,264,104,1.75,0.25,28,251.5,117,1,0.5,0,1
26.25,292.75,108.25,1.25,0.5,20.75,237.5,124.75,1.25,0.75,0.5,1
23.25,283.5,80,2,0.75,24.5,177.75,93.25,1,0.5,1,0
31,316.5,145.5,1,1.25,28.75,345.5,109.75,0.75,0.75,0,1
26.5,284.25,125.5,2.25,0.25,22.5,223.75,121.5,0.75,1,0.5,0
15,166.5,138,2.25,1.25,30.75,301.25,99.25,1.5,1.25,0,0
21.25,220.25,124.25,1.5,1.5,29.25,271.25,101.75,1.75,1.25,1,1
33.5,310.75,106.75,1.25,1.5,15.5,178.5,128,1.25,1.25,0,1
15.5,294.5,88.25,2.5,1,26.75,207.75,142.5,0.75,0.75,0,0
25,351.75,75,2.25,1,28.5,302.25,113.75,1,0.25,0,0
15,267.25,85.25,0.75,1,26.5,249.25,100.25,1.5,0.25,0.5,1
26.25,283.75,95.5,2.5,1,23.5,261.75,140,2,1,0,1
15.25,192.75,93.5,1,0.25,23,256,115.75,2.25,1.25,0,0
21.5,323.25,69.25,2.5,1.25,25.25,277.5,91.25,1,1,1,1
14.83333333,246.6666667,103,3,0.666666667,27,274.1666667,139,1,0.666666667,0,0
16.83333333,230.6666667,90.33333333,1.333333333,1.333333333,28.16666667,212.3333333,141,1.166666667,0.833333333,0.333333333,1
19.16666667,273.1666667,95.5,3.333333333,1.333333333,28,294.8333333,69.83333333,1.666666667,0.833333333,0,0
17.33333333,196.5,87.66666667,1.5,1,19.83333333,258.5,90.16666667,1.5,0.666666667,0,0
