Home Scoring,Home Pass Yds,Home Rush Yds,Home Fumbles,Home Ints,Away Scoring,Away Pass Yds,Away Rush Yds,Away Fumbles,Away Ints,Home Field Adv,Target,Home Twitter Sentiment,Away Twitter Sentiment,Home Twitter Rate,Away Twitter Rate,Unnamed: 0
18.9,239.25,88.35,1.8,1.2,25.55,221.15,140.75,1.35,0.6,0,0,0.184042985,0.086627653,3.309859155,-0.693641618,
20.1,240.9,120.55,1.1,1,22.2,259,97.95,1.1,1.2,0,1,0.200499642,0.075543049,-2.144886364,-2.159709619,
22.2,208.4,120.85,1.45,1,16.15,216.55,106.4,1.7,1.5,0.1,1,0.087907113,0.098852713,-1.27753304,-1.123853211,
22.3,212.55,132.4,1.9,0.9,19.75,226.95,113.2,1.35,0.9,0,0,0.074406832,0.003085542,-3.30075188,0.07751938,
19.6,244,93.9,1.25,0.85,23.8,253.8,135.05,1.05,0.65,0.1,0,0.030348598,0.176632759,0.035714286,-0.1,
21.95,226.15,126.55,1.35,1.1,19.35,221.25,109.8,1.55,0.75,0.1,1,0.195845763,0.140466,-2.733711048,-1.515151515,
20.85,225.55,99.35,1.25,1.7,21.5,244.65,114.4,2.15,0.95,0,1,0.175859205,0.188145826,2.04989154,-1.821480406,
20.75,276.45,88.6,1.8,0.7,23.2,229.15,122.95,0.95,0.75,0.1,0,0.002447312,0.191601887,-0.94637224,0,
23.95,255.25,87.65,1.1,0.8,24.5,270.95,124.2,1.55,0.9,0.1,0,0.105580928,0.228637864,-0.928338762,-3.047493404,
20.35,225.4,95.65,1.65,1.05,22.6,253.85,115.45,1.35,1.05,0.2,0,0.140887685,0.135772368,-1.038251366,0.87431694,
27.13636364,284.2272727,123.4090909,1.454545455,0.636363636,23.68181818,241.9545455,117.5454545,1,1.181818182,0.090909091,1,0.125938641,0.093745038,-0.764840183,3.865979381,
24.5,268.6363636,134.7727273,1.727272727,1.181818182,20.68181818,234.5909091,95.45454545,2.045454545,1.090909091,0,1,0.126399477,0.121189441,-0.496760259,-1.475826972,
19.72727273,249.5,112.7272727,1.045454545,1.318181818,20.04545455,211.0454545,110.3636364,1.545454545,0.909090909,0.090909091,0,0.154896575,0.148150708,-1.641221374,2.159763314,
22.45454545,250.0454545,98.31818182,1.181818182,0.818181818,16.04545455,224.8636364,111.6818182,1.545454545,1.227272727,0.090909091,1,0.188382941,0.133,-1.42172524,-0.720930233,
19.18181818,230.7272727,100.4545455,1.909090909,1,25.13636364,262.4545455,108.5909091,1.363636364,1.272727273,0.090909091,0,0.070128446,0.168684946,3.298611111,2.464114833,
25.04545455,232.2272727,115.9545455,1.272727273,0.863636364,20.81818182,240.7272727,126.5,1.5,1.409090909,0.090909091,0,0.045995088,0.151579121,-2.597402597,-0.856164384,
27.63636364,229.0909091,157.9545455,0.909090909,0.454545455,21.86363636,283.2272727,87.90909091,1.636363636,0.681818182,0.090909091,1,0.182714871,0.050189101,4.965986395,-0.408560311,
19.54545455,252.5909091,82.68181818,2,1.318181818,22.90909091,231.2727273,115.2727273,1.681818182,1.090909091,0.090909091,0,0.060037642,0.142733333,7.03539823,-0.676923077,
22,223.9545455,143.7727273,1.181818182,0.954545455,21.27272727,225.0454545,101.4090909,1.227272727,0.954545455,0.090909091,1,0.159825911,0.132895039,-3.33655706,0.656779661,
25.72727273,264.5,123.5,1.545454545,0.681818182,21.81818182,214.1818182,110.4090909,1.727272727,1.181818182,0.090909091,0,0.149645231,0.062870877,2.837837838,0.331858407,
